"sk_evento","fk_tempo","fk_prospect","fk_vendedor","fk_cardapio","fk_tema","data_interesse","tipo_evento","duracao_horas","status","qtd_adultos","qtd_criancas","faturamento","custo","dias_para_evento","total_pessoas","lucro_total"
482,NULL,331,2,4,10,"2016-12-01","Casamento","04:00:00","Tornou-se cliente",120,0,"5100.00","3900.00",126,120,"1200.00"
483,NULL,122,7,3,NULL,"2016-12-02","Aniversário infantil","04:00:00","Em negociação",35,25,"1000.00","780.00",125,60,"220.00"
484,NULL,1215,1,NULL,NULL,"2016-12-03","Chá revelação","04:00:00","Desistência",40,20,NULL,NULL,124,60,NULL
485,NULL,1195,4,2,5,"2016-12-04","Aniversário de 15 anos","04:00:00","Tornou-se cliente",50,18,"1190.00","890.00",122,68,"300.00"
486,NULL,1198,6,3,NULL,"2016-12-05","Aniversário adulto","04:00:00","Em negociação",60,15,"1400.00","1050.00",121,75,"350.00"
487,NULL,1258,8,NULL,NULL,"2016-12-06","Formatura","04:00:00","Desistência",80,5,NULL,NULL,120,85,NULL
488,NULL,332,3,4,2,"2016-12-07","Casamento","04:00:00","Tornou-se cliente",125,0,"5200.00","3900.00",119,125,"1300.00"
489,NULL,125,2,3,NULL,"2016-12-08","Aniversário infantil","04:00:00","Em negociação",38,22,"1020.00","780.00",118,60,"240.00"
490,NULL,1230,5,NULL,NULL,"2016-12-09","Chá revelação","04:00:00","Desistência",35,25,NULL,NULL,116,60,NULL
491,NULL,1200,1,1,3,"2016-12-10","Aniversário de 15 anos","04:00:00","Tornou-se cliente",55,20,"1200.00","900.00",114,75,"300.00"
492,NULL,1210,7,4,NULL,"2016-12-11","Aniversário adulto","04:00:00","Em negociação",65,15,"1450.00","1100.00",113,80,"350.00"
493,NULL,1265,2,NULL,NULL,"2016-12-12","Formatura","04:00:00","Desistência",75,5,NULL,NULL,112,80,NULL
494,NULL,333,8,4,8,"2016-12-13","Casamento","04:00:00","Tornou-se cliente",120,0,"5300.00","4000.00",110,120,"1300.00"
495,NULL,12,2,2,5,"2016-12-14","Aniversário infantil","04:00:00","Tornou-se cliente",25,35,"500.00","350.00",115,60,"150.00"
496,NULL,45,1,1,NULL,"2016-12-15","Aniversário de adulto","04:00:00","Em negociação",40,20,"600.00","400.00",163,60,"200.00"
497,NULL,78,4,3,2,"2016-12-16","Formatura","04:00:00","Tornou-se cliente",30,25,"700.00","450.00",108,55,"250.00"
498,NULL,150,3,4,7,"2016-12-17","Chá revelação","04:00:00","Tornou-se cliente",20,40,"480.00","320.00",182,60,"160.00"
499,NULL,203,5,1,9,"2016-12-18","Casamento","04:00:00","Em negociação",55,30,"1200.00","800.00",191,85,"400.00"
500,NULL,88,6,2,1,"2016-12-19","Aniversário infantil","04:00:00","Tornou-se cliente",32,28,"520.00","350.00",105,60,"170.00"
501,NULL,97,7,1,NULL,"2016-12-20","Aniversário de 15 anos","04:00:00","Em negociação",45,25,"850.00","600.00",161,70,"250.00"
502,NULL,104,2,NULL,NULL,"2016-12-21","Aniversário infantil","04:00:00","Desistência",28,27,NULL,NULL,184,55,NULL
503,NULL,112,8,3,NULL,"2016-12-22","Aniversário de adulto","04:00:00","Tornou-se cliente",35,30,"750.00","500.00",119,65,"250.00"
504,NULL,118,3,2,4,"2016-12-23","Formatura","04:00:00","Em negociação",40,35,"950.00","600.00",99,75,"350.00"
505,NULL,122,4,1,10,"2016-12-24","Casamento","04:00:00","Tornou-se cliente",60,50,"1300.00","900.00",177,110,"400.00"
506,NULL,131,6,NULL,NULL,"2016-12-25","Chá revelação","04:00:00","Desistência",25,30,NULL,NULL,168,55,NULL
507,NULL,140,1,3,6,"2016-12-26","Aniversário infantil","04:00:00","Tornou-se cliente",30,35,"540.00","370.00",133,65,"170.00"
508,NULL,152,2,2,2,"2016-12-27","Aniversário de 15 anos","04:00:00","Em negociação",50,30,"880.00","600.00",182,80,"280.00"
509,NULL,160,3,4,3,"2016-12-28","Formatura","04:00:00","Tornou-se cliente",45,40,"950.00","650.00",118,85,"300.00"
510,NULL,168,5,2,8,"2016-12-29","Aniversário infantil","04:00:00","Tornou-se cliente",35,25,"500.00","350.00",146,60,"150.00"
511,NULL,175,6,1,9,"2016-12-30","Casamento","04:00:00","Em negociação",55,40,"1250.00","850.00",165,95,"400.00"
512,NULL,183,7,3,NULL,"2016-12-31","Aniversário de adulto","04:00:00","Tornou-se cliente",40,35,"780.00","500.00",192,75,"280.00"
513,NULL,190,8,4,5,"2017-01-01","Chá revelação","04:00:00","Tornou-se cliente",30,25,"500.00","350.00",142,55,"150.00"
514,NULL,197,9,NULL,NULL,"2017-01-02","Aniversário infantil","04:00:00","Desistência",25,30,NULL,NULL,185,55,NULL
515,NULL,205,10,3,3,"2017-01-03","Formatura","04:00:00","Tornou-se cliente",45,40,"900.00","600.00",136,85,"300.00"
516,NULL,210,1,1,10,"2017-01-04","Casamento","04:00:00","Em negociação",60,50,"1350.00","900.00",203,110,"450.00"
517,NULL,218,2,2,2,"2017-01-05","Aniversário de 15 anos","04:00:00","Tornou-se cliente",48,35,"920.00","650.00",169,83,"270.00"
518,NULL,220,3,4,1,"2017-01-06","Aniversário infantil","04:00:00","Tornou-se cliente",35,25,"520.00","350.00",116,60,"170.00"
519,NULL,5,1,2,3,"2017-01-07","Aniversário infantil","04:00:00","Tornou-se cliente",30,40,"600.00","400.00",114,70,"200.00"
520,NULL,15,2,1,NULL,"2017-01-08","Aniversário de 15 anos","04:00:00","Em negociação",45,35,"900.00","650.00",160,80,"250.00"
521,NULL,25,3,NULL,NULL,"2017-01-09","Formatura","04:00:00","Desistência",40,30,NULL,NULL,178,70,NULL
522,NULL,30,4,4,6,"2017-01-10","Chá revelação","04:00:00","Tornou-se cliente",25,35,"550.00","380.00",112,60,"170.00"
523,NULL,42,5,1,NULL,"2017-01-11","Casamento","04:00:00","Em negociação",60,50,"1400.00","900.00",203,110,"500.00"
524,NULL,50,6,NULL,NULL,"2017-01-12","Aniversário infantil","04:00:00","Desistência",35,25,NULL,NULL,191,60,NULL
525,NULL,60,7,3,2,"2017-01-13","Aniversário de adulto","04:00:00","Tornou-se cliente",40,40,"800.00","500.00",156,80,"300.00"
526,NULL,72,8,2,NULL,"2017-01-14","Formatura","04:00:00","Em negociação",50,45,"1100.00","700.00",135,95,"400.00"
527,NULL,85,9,NULL,NULL,"2017-01-15","Chá revelação","04:00:00","Desistência",30,25,NULL,NULL,181,55,NULL
528,NULL,95,10,1,8,"2017-01-16","Casamento","04:00:00","Tornou-se cliente",65,50,"1500.00","950.00",200,115,"550.00"
529,NULL,110,1,2,NULL,"2017-01-17","Aniversário infantil","04:00:00","Em negociação",32,28,"580.00","380.00",129,60,"200.00"
530,NULL,120,2,NULL,NULL,"2017-01-18","Aniversário de 15 anos","04:00:00","Desistência",45,35,NULL,NULL,166,80,NULL
531,NULL,135,3,4,4,"2017-01-19","Formatura","04:00:00","Tornou-se cliente",48,40,"1000.00","650.00",126,88,"350.00"
532,NULL,145,5,3,5,"2017-01-20","Aniversário infantil","04:00:00","Tornou-se cliente",35,30,"600.00","400.00",153,65,"200.00"
533,NULL,155,6,1,NULL,"2017-01-21","Casamento","04:00:00","Em negociação",70,60,"1600.00","1000.00",220,130,"600.00"
534,NULL,165,7,NULL,NULL,"2017-01-22","Aniversário de adulto","04:00:00","Desistência",40,35,NULL,NULL,181,75,NULL
535,NULL,175,8,4,6,"2017-01-23","Chá revelação","04:00:00","Tornou-se cliente",30,25,"520.00","350.00",144,55,"170.00"
536,NULL,180,9,2,NULL,"2017-01-24","Aniversário infantil","04:00:00","Em negociação",35,30,"580.00","380.00",165,65,"200.00"
537,NULL,185,10,NULL,NULL,"2017-01-25","Formatura","04:00:00","Desistência",45,40,NULL,NULL,199,85,NULL
538,NULL,190,1,1,9,"2017-01-26","Casamento","04:00:00","Tornou-se cliente",65,55,"1500.00","950.00",212,120,"550.00"
539,NULL,195,2,2,2,"2017-01-27","Aniversário de 15 anos","04:00:00","Tornou-se cliente",48,40,"920.00","650.00",162,88,"270.00"
540,NULL,200,3,4,NULL,"2017-01-28","Aniversário infantil","04:00:00","Em negociação",35,30,"540.00","360.00",138,65,"180.00"
541,NULL,205,5,NULL,NULL,"2017-01-29","Formatura","04:00:00","Desistência",50,45,NULL,NULL,177,95,NULL
542,NULL,210,6,1,10,"2017-01-30","Casamento","04:00:00","Tornou-se cliente",70,60,"1600.00","1000.00",194,130,"600.00"
543,NULL,215,7,3,4,"2017-01-31","Aniversário de adulto","04:00:00","Tornou-se cliente",40,35,"780.00","500.00",152,75,"280.00"
544,NULL,220,8,2,5,"2017-02-01","Chá revelação","04:00:00","Tornou-se cliente",28,32,"540.00","360.00",175,60,"180.00"
545,NULL,225,9,3,NULL,"2017-02-02","Aniversário infantil","04:00:00","Em negociação",30,35,"600.00","380.00",140,65,"220.00"
546,NULL,230,1,NULL,NULL,"2017-02-03","Formatura","04:00:00","Desistência",50,40,NULL,NULL,193,90,NULL
547,NULL,240,2,1,9,"2017-02-04","Casamento","04:00:00","Tornou-se cliente",65,55,"1550.00","1000.00",221,120,"550.00"
548,NULL,245,3,2,NULL,"2017-02-05","Aniversário de 15 anos","04:00:00","Em negociação",45,35,"900.00","650.00",184,80,"250.00"
549,NULL,250,4,NULL,NULL,"2017-02-06","Aniversário infantil","04:00:00","Desistência",30,25,NULL,NULL,147,55,NULL
550,NULL,255,5,3,4,"2017-02-07","Formatura","04:00:00","Tornou-se cliente",48,40,"1000.00","650.00",171,88,"350.00"
551,NULL,260,6,2,5,"2017-02-08","Aniversário infantil","04:00:00","Tornou-se cliente",35,30,"600.00","400.00",193,65,"200.00"
552,NULL,265,7,1,NULL,"2017-02-09","Casamento","04:00:00","Em negociação",70,60,"1600.00","1000.00",239,130,"600.00"
553,NULL,270,8,NULL,NULL,"2017-02-10","Aniversário de adulto","04:00:00","Desistência",40,35,NULL,NULL,200,75,NULL
554,NULL,275,9,4,6,"2017-02-11","Chá revelação","04:00:00","Tornou-se cliente",30,25,"520.00","350.00",163,55,"170.00"
555,NULL,280,10,2,NULL,"2017-02-12","Aniversário infantil","04:00:00","Em negociação",35,30,"580.00","380.00",184,65,"200.00"
556,NULL,285,1,NULL,NULL,"2017-02-13","Formatura","04:00:00","Desistência",45,40,NULL,NULL,218,85,NULL
557,NULL,290,2,1,9,"2017-02-14","Casamento","04:00:00","Tornou-se cliente",65,55,"1500.00","950.00",231,120,"550.00"
558,NULL,295,3,2,NULL,"2017-02-15","Aniversário de 15 anos","04:00:00","Tornou-se cliente",48,40,"920.00","650.00",181,88,"270.00"
559,NULL,300,4,4,1,"2017-02-16","Aniversário infantil","04:00:00","Em negociação",35,30,"540.00","360.00",157,65,"180.00"
560,NULL,305,5,NULL,NULL,"2017-02-17","Formatura","04:00:00","Desistência",50,45,NULL,NULL,196,95,NULL
561,NULL,310,6,1,10,"2017-02-18","Casamento","04:00:00","Tornou-se cliente",70,60,"1600.00","1000.00",213,130,"600.00"
562,NULL,315,7,3,4,"2017-02-19","Aniversário de adulto","04:00:00","Tornou-se cliente",40,35,"780.00","500.00",171,75,"280.00"
563,NULL,320,8,2,NULL,"2017-02-20","Chá revelação","04:00:00","Em negociação",28,32,"540.00","360.00",194,60,"180.00"
564,NULL,325,9,NULL,NULL,"2017-02-21","Aniversário infantil","04:00:00","Desistência",30,35,NULL,NULL,159,65,NULL
565,NULL,330,10,3,4,"2017-02-22","Formatura","04:00:00","Tornou-se cliente",50,40,"1000.00","650.00",212,90,"350.00"
566,NULL,335,1,1,NULL,"2017-02-23","Casamento","04:00:00","Em negociação",65,55,"1550.00","1000.00",240,120,"550.00"
567,NULL,340,2,NULL,NULL,"2017-02-24","Aniversário de 15 anos","04:00:00","Desistência",45,35,NULL,NULL,203,80,NULL
568,NULL,345,3,2,5,"2017-02-25","Aniversário infantil","04:00:00","Tornou-se cliente",35,30,"580.00","380.00",166,65,"200.00"
569,NULL,350,4,3,NULL,"2017-02-26","Formatura","04:00:00","Em negociação",50,45,"1020.00","650.00",205,95,"370.00"
570,NULL,1,1,2,3,"2017-02-27","Aniversário infantil","04:00:00","Tornou-se cliente",30,35,"600.00","400.00",118,65,"200.00"
571,NULL,2,2,1,NULL,"2017-02-28","Aniversário de 15 anos","04:00:00","Em negociação",45,35,"900.00","650.00",136,80,"250.00"
572,NULL,3,3,NULL,NULL,"2017-03-01","Formatura","04:00:00","Desistência",50,40,NULL,NULL,162,90,NULL
573,NULL,4,4,1,9,"2017-03-02","Casamento","04:00:00","Tornou-se cliente",65,55,"1550.00","1000.00",186,120,"550.00"
574,NULL,5,5,3,NULL,"2017-03-03","Aniversário infantil","04:00:00","Em negociação",32,28,"580.00","360.00",113,60,"220.00"
575,NULL,6,6,NULL,NULL,"2017-03-04","Chá revelação","04:00:00","Desistência",25,30,NULL,NULL,150,55,NULL
576,NULL,7,7,2,4,"2017-03-05","Formatura","04:00:00","Tornou-se cliente",48,40,"1000.00","650.00",110,88,"350.00"
577,NULL,8,8,1,2,"2017-03-06","Aniversário de 15 anos","04:00:00","Tornou-se cliente",45,35,"920.00","650.00",137,80,"270.00"
578,NULL,9,9,1,NULL,"2017-03-07","Casamento","04:00:00","Em negociação",70,60,"1600.00","1000.00",178,130,"600.00"
579,NULL,10,10,NULL,NULL,"2017-03-08","Aniversário infantil","04:00:00","Desistência",30,35,NULL,NULL,127,65,NULL
580,NULL,11,1,3,5,"2017-03-09","Formatura","04:00:00","Tornou-se cliente",50,40,"1000.00","650.00",135,90,"350.00"
581,NULL,12,2,2,NULL,"2017-03-10","Aniversário de 15 anos","04:00:00","Em negociação",45,35,"900.00","650.00",161,80,"250.00"
582,NULL,13,3,NULL,NULL,"2017-03-11","Aniversário infantil","04:00:00","Desistência",35,30,NULL,NULL,126,65,NULL
583,NULL,14,4,1,8,"2017-03-12","Casamento","04:00:00","Tornou-se cliente",65,55,"1550.00","1000.00",153,120,"550.00"
584,NULL,15,5,2,NULL,"2017-03-13","Formatura","04:00:00","Em negociação",48,40,"1020.00","650.00",121,88,"370.00"
585,NULL,16,6,NULL,NULL,"2017-03-14","Aniversário infantil","04:00:00","Desistência",30,35,NULL,NULL,145,65,NULL
586,NULL,17,7,3,6,"2017-03-15","Chá revelação","04:00:00","Tornou-se cliente",28,32,"540.00","360.00",117,60,"180.00"
587,NULL,18,8,1,NULL,"2017-03-16","Aniversário de 15 anos","04:00:00","Em negociação",45,35,"900.00","650.00",139,80,"250.00"
588,NULL,19,9,NULL,NULL,"2017-03-17","Formatura","04:00:00","Desistência",50,40,NULL,NULL,132,90,NULL
589,NULL,20,10,1,10,"2017-03-18","Casamento","04:00:00","Tornou-se cliente",70,60,"1600.00","1000.00",154,130,"600.00"
590,NULL,21,1,2,NULL,"2017-03-19","Aniversário infantil","04:00:00","Em negociação",35,30,"580.00","360.00",127,65,"220.00"
591,NULL,22,2,NULL,NULL,"2017-03-20","Aniversário de adulto","04:00:00","Desistência",40,35,NULL,NULL,153,75,NULL
592,NULL,23,3,3,5,"2017-03-21","Chá revelação","04:00:00","Tornou-se cliente",30,25,"520.00","350.00",121,55,"170.00"
593,NULL,24,4,2,NULL,"2017-03-22","Formatura","04:00:00","Em negociação",50,45,"1020.00","650.00",151,95,"370.00"
594,NULL,25,5,NULL,NULL,"2017-03-23","Aniversário infantil","04:00:00","Desistência",35,30,NULL,NULL,118,65,NULL
595,NULL,26,6,1,8,"2017-03-24","Casamento","04:00:00","Tornou-se cliente",65,55,"1550.00","1000.00",145,120,"550.00"
596,NULL,27,7,2,NULL,"2017-03-25","Aniversário de 15 anos","04:00:00","Em negociação",45,35,"900.00","650.00",140,80,"250.00"
597,NULL,28,8,NULL,NULL,"2017-03-26","Formatura","04:00:00","Desistência",50,40,NULL,NULL,165,90,NULL
598,NULL,29,9,3,4,"2017-03-27","Aniversário infantil","04:00:00","Tornou-se cliente",30,35,"600.00","400.00",132,65,"200.00"
599,NULL,30,10,1,NULL,"2017-03-28","Casamento","04:00:00","Em negociação",70,60,"1600.00","1000.00",161,130,"600.00"
600,NULL,31,1,NULL,NULL,"2017-03-29","Aniversário de adulto","04:00:00","Desistência",40,35,NULL,NULL,129,75,NULL
601,NULL,32,2,2,5,"2017-03-30","Chá revelação","04:00:00","Tornou-se cliente",28,32,"540.00","360.00",156,60,"180.00"
602,NULL,33,3,3,NULL,"2017-03-31","Formatura","04:00:00","Em negociação",50,45,"1020.00","650.00",126,95,"370.00"
603,NULL,34,4,NULL,NULL,"2017-04-01","Aniversário infantil","04:00:00","Desistência",35,30,NULL,NULL,155,65,NULL
604,NULL,35,5,2,3,"2017-04-02","Aniversário infantil","04:00:00","Tornou-se cliente",30,35,"600.00","400.00",82,65,"200.00"
605,NULL,36,6,1,NULL,"2017-04-03","Aniversário de 15 anos","04:00:00","Em negociação",45,35,"900.00","650.00",119,80,"250.00"
606,NULL,37,7,NULL,NULL,"2017-04-04","Formatura","04:00:00","Desistência",50,40,NULL,NULL,105,90,NULL
607,NULL,38,8,1,9,"2017-04-05","Casamento","04:00:00","Tornou-se cliente",65,55,"1550.00","1000.00",128,120,"550.00"
608,NULL,39,9,3,NULL,"2017-04-06","Aniversário infantil","04:00:00","Em negociação",32,28,"580.00","360.00",81,60,"220.00"
609,NULL,40,10,NULL,NULL,"2017-04-07","Chá revelação","04:00:00","Desistência",25,30,NULL,NULL,118,55,NULL
610,NULL,41,1,2,4,"2017-04-08","Formatura","04:00:00","Tornou-se cliente",48,40,"1000.00","650.00",78,88,"350.00"
611,NULL,42,2,1,2,"2017-04-09","Aniversário de 15 anos","04:00:00","Tornou-se cliente",45,35,"920.00","650.00",110,80,"270.00"
612,NULL,43,3,1,NULL,"2017-04-10","Casamento","04:00:00","Em negociação",70,60,"1600.00","1000.00",95,130,"600.00"
613,NULL,44,4,NULL,NULL,"2017-04-11","Aniversário infantil","04:00:00","Desistência",30,35,NULL,NULL,91,65,NULL
614,NULL,45,5,3,5,"2017-04-12","Formatura","04:00:00","Tornou-se cliente",50,40,"1000.00","650.00",87,90,"350.00"
615,NULL,46,6,2,NULL,"2017-04-13","Aniversário de 15 anos","04:00:00","Em negociação",45,35,"900.00","650.00",109,80,"250.00"
616,NULL,47,7,NULL,NULL,"2017-04-14","Aniversário infantil","04:00:00","Desistência",35,30,NULL,NULL,84,65,NULL
617,NULL,48,8,1,8,"2017-04-15","Casamento","04:00:00","Tornou-se cliente",65,55,"1550.00","1000.00",100,120,"550.00"
618,NULL,49,9,2,NULL,"2017-04-16","Formatura","04:00:00","Em negociação",48,40,"1020.00","650.00",109,88,"370.00"
619,NULL,50,10,NULL,NULL,"2017-04-17","Aniversário infantil","04:00:00","Desistência",30,35,NULL,NULL,97,65,NULL
620,NULL,51,1,3,6,"2017-04-18","Chá revelação","04:00:00","Tornou-se cliente",28,32,"540.00","360.00",83,60,"180.00"
621,NULL,52,2,1,NULL,"2017-04-19","Aniversário de 15 anos","04:00:00","Em negociação",45,35,"900.00","650.00",94,80,"250.00"
622,NULL,53,3,NULL,NULL,"2017-04-20","Formatura","04:00:00","Desistência",50,40,NULL,NULL,90,90,NULL
623,NULL,54,4,1,10,"2017-04-21","Casamento","04:00:00","Tornou-se cliente",70,60,"1600.00","1000.00",106,130,"600.00"
624,NULL,55,5,2,NULL,"2017-04-22","Aniversário infantil","04:00:00","Em negociação",35,30,"580.00","360.00",102,65,"220.00"
625,NULL,56,6,NULL,NULL,"2017-04-23","Aniversário de adulto","04:00:00","Desistência",40,35,NULL,NULL,95,75,NULL
626,NULL,57,7,3,5,"2017-04-24","Chá revelação","04:00:00","Tornou-se cliente",30,25,"520.00","350.00",89,55,"170.00"
627,NULL,58,8,2,NULL,"2017-04-25","Formatura","04:00:00","Em negociação",50,45,"1020.00","650.00",93,95,"370.00"
628,NULL,59,9,NULL,NULL,"2017-04-26","Aniversário infantil","04:00:00","Desistência",35,30,NULL,NULL,86,65,NULL
629,NULL,60,10,1,8,"2017-04-27","Casamento","04:00:00","Tornou-se cliente",65,55,"1550.00","1000.00",81,120,"550.00"
630,NULL,61,1,2,3,"2017-04-28","Aniversário infantil","04:00:00","Tornou-se cliente",28,32,"540.00","350.00",103,60,"190.00"
631,NULL,62,2,1,NULL,"2017-04-29","Aniversário de 15 anos","04:00:00","Em negociação",45,40,"920.00","650.00",99,85,"270.00"
632,NULL,63,3,NULL,NULL,"2017-04-30","Formatura","04:00:00","Desistência",50,45,NULL,NULL,110,95,NULL
633,NULL,64,4,1,9,"2017-05-01","Casamento","04:00:00","Tornou-se cliente",65,55,"1550.00","1000.00",124,120,"550.00"
634,NULL,65,5,3,NULL,"2017-05-02","Aniversário infantil","04:00:00","Em negociação",32,30,"580.00","360.00",104,62,"220.00"
635,NULL,66,6,NULL,NULL,"2017-05-03","Chá revelação","04:00:00","Desistência",30,25,NULL,NULL,98,55,NULL
636,NULL,67,7,2,4,"2017-05-04","Formatura","04:00:00","Tornou-se cliente",48,42,"1020.00","650.00",94,90,"370.00"
637,NULL,68,8,1,2,"2017-05-05","Aniversário de 15 anos","04:00:00","Tornou-se cliente",50,38,"950.00","650.00",93,88,"300.00"
638,NULL,69,9,1,NULL,"2017-05-06","Casamento","04:00:00","Em negociação",70,60,"1600.00","1000.00",121,130,"600.00"
639,NULL,70,10,NULL,NULL,"2017-05-07","Aniversário infantil","04:00:00","Desistência",35,30,NULL,NULL,115,65,NULL
640,NULL,71,1,3,5,"2017-05-08","Formatura","04:00:00","Tornou-se cliente",50,40,"1000.00","650.00",110,90,"350.00"
641,NULL,72,2,2,NULL,"2017-05-09","Aniversário de 15 anos","04:00:00","Em negociação",45,35,"900.00","650.00",107,80,"250.00"
642,NULL,73,3,NULL,NULL,"2017-05-10","Aniversário infantil","04:00:00","Desistência",30,35,NULL,NULL,102,65,NULL
643,NULL,74,4,1,8,"2017-05-11","Casamento","04:00:00","Tornou-se cliente",65,55,"1550.00","1000.00",99,120,"550.00"
644,NULL,75,5,2,NULL,"2017-05-12","Formatura","04:00:00","Em negociação",48,40,"1020.00","650.00",127,88,"370.00"
645,NULL,76,6,NULL,NULL,"2017-05-13","Aniversário infantil","04:00:00","Desistência",35,30,NULL,NULL,121,65,NULL
646,NULL,77,7,3,6,"2017-05-14","Chá revelação","04:00:00","Tornou-se cliente",28,32,"540.00","360.00",114,60,"180.00"
647,NULL,78,8,1,NULL,"2017-05-15","Aniversário de 15 anos","04:00:00","Em negociação",45,35,"900.00","650.00",110,80,"250.00"
648,NULL,79,9,NULL,NULL,"2017-05-16","Formatura","04:00:00","Desistência",50,40,NULL,NULL,104,90,NULL
649,NULL,80,10,1,10,"2017-05-17","Casamento","04:00:00","Tornou-se cliente",70,60,"1600.00","1000.00",101,130,"600.00"
650,NULL,81,1,2,NULL,"2017-05-18","Aniversário infantil","04:00:00","Em negociação",35,30,"580.00","360.00",110,65,"220.00"
651,NULL,82,2,NULL,NULL,"2017-05-19","Aniversário de adulto","04:00:00","Desistência",40,35,NULL,NULL,107,75,NULL
652,NULL,83,3,3,5,"2017-05-20","Chá revelação","04:00:00","Tornou-se cliente",30,25,"520.00","350.00",104,55,"170.00"
653,NULL,84,4,2,NULL,"2017-05-21","Formatura","04:00:00","Em negociação",50,45,"1020.00","650.00",126,95,"370.00"
654,NULL,85,5,NULL,NULL,"2017-05-22","Aniversário infantil","04:00:00","Desistência",35,30,NULL,NULL,124,65,NULL
655,NULL,86,6,1,8,"2017-05-23","Casamento","04:00:00","Tornou-se cliente",65,55,"1550.00","1000.00",123,120,"550.00"
656,NULL,87,7,2,NULL,"2017-05-24","Formatura","04:00:00","Em negociação",48,40,"1020.00","650.00",119,88,"370.00"
657,NULL,88,8,NULL,NULL,"2017-05-25","Aniversário infantil","04:00:00","Desistência",30,35,NULL,NULL,115,65,NULL
658,NULL,89,9,3,6,"2017-05-26","Chá revelação","04:00:00","Tornou-se cliente",28,32,"540.00","360.00",110,60,"180.00"
659,NULL,90,10,1,NULL,"2017-05-27","Aniversário de 15 anos","04:00:00","Em negociação",45,35,"900.00","650.00",106,80,"250.00"
660,NULL,91,1,NULL,NULL,"2017-05-28","Formatura","04:00:00","Desistência",50,40,NULL,NULL,102,90,NULL
661,NULL,92,2,1,10,"2017-05-29","Casamento","04:00:00","Tornou-se cliente",70,60,"1600.00","1000.00",98,130,"600.00"
662,NULL,93,3,2,NULL,"2017-05-30","Aniversário infantil","04:00:00","Em negociação",35,30,"580.00","360.00",97,65,"220.00"
663,NULL,94,4,NULL,NULL,"2017-05-31","Aniversário de adulto","04:00:00","Desistência",40,35,NULL,NULL,95,75,NULL
664,NULL,95,5,2,4,"2017-06-01","Formatura","04:00:00","Tornou-se cliente",50,40,"1020.00","650.00",92,90,"370.00"
665,NULL,96,6,3,NULL,"2017-06-02","Aniversário infantil","04:00:00","Em negociação",32,28,"580.00","360.00",89,60,"220.00"
666,NULL,97,7,NULL,NULL,"2017-06-03","Chá revelação","04:00:00","Desistência",30,25,NULL,NULL,85,55,NULL
667,NULL,98,8,1,9,"2017-06-04","Casamento","04:00:00","Tornou-se cliente",65,55,"1550.00","1000.00",95,120,"550.00"
668,NULL,99,9,2,NULL,"2017-06-05","Formatura","04:00:00","Em negociação",48,40,"1020.00","650.00",85,88,"370.00"
669,NULL,100,10,NULL,NULL,"2017-06-06","Aniversário infantil","04:00:00","Desistência",30,35,NULL,NULL,83,65,NULL
670,NULL,101,1,1,2,"2017-06-07","Aniversário de 15 anos","04:00:00","Tornou-se cliente",45,35,"920.00","650.00",81,80,"270.00"
671,NULL,102,2,1,10,"2017-06-08","Casamento","04:00:00","Tornou-se cliente",70,60,"1600.00","1000.00",80,130,"600.00"
672,NULL,103,3,2,NULL,"2017-06-09","Formatura","04:00:00","Em negociação",50,45,"1020.00","650.00",79,95,"370.00"
673,NULL,104,4,NULL,NULL,"2017-06-10","Chá revelação","04:00:00","Desistência",28,32,NULL,NULL,77,60,NULL
674,NULL,105,5,3,6,"2017-06-11","Aniversário infantil","04:00:00","Tornou-se cliente",35,30,"580.00","360.00",75,65,"220.00"
675,NULL,106,6,1,NULL,"2017-06-12","Aniversário de adulto","04:00:00","Em negociação",40,35,"920.00","650.00",74,75,"270.00"
676,NULL,107,7,NULL,NULL,"2017-06-13","Formatura","04:00:00","Desistência",50,40,NULL,NULL,73,90,NULL
677,NULL,108,8,1,9,"2017-06-14","Casamento","04:00:00","Tornou-se cliente",65,55,"1550.00","1000.00",70,120,"550.00"
678,NULL,109,9,3,NULL,"2017-06-15","Aniversário infantil","04:00:00","Em negociação",32,28,"580.00","360.00",68,60,"220.00"
679,NULL,110,10,NULL,NULL,"2017-06-16","Chá revelação","04:00:00","Desistência",30,25,NULL,NULL,67,55,NULL
680,NULL,111,1,2,4,"2017-06-17","Formatura","04:00:00","Tornou-se cliente",48,42,"1020.00","650.00",66,90,"370.00"
681,NULL,112,2,1,2,"2017-06-18","Aniversário de 15 anos","04:00:00","Tornou-se cliente",45,35,"920.00","650.00",64,80,"270.00"
682,NULL,113,3,1,NULL,"2017-06-19","Casamento","04:00:00","Em negociação",70,60,"1600.00","1000.00",62,130,"600.00"
683,NULL,114,4,NULL,NULL,"2017-06-20","Aniversário infantil","04:00:00","Desistência",35,30,NULL,NULL,61,65,NULL
684,NULL,115,5,2,4,"2017-06-21","Formatura","04:00:00","Tornou-se cliente",50,45,"1020.00","650.00",60,95,"370.00"
685,NULL,116,6,1,NULL,"2017-06-22","Aniversário de 15 anos","04:00:00","Em negociação",45,35,"900.00","650.00",58,80,"250.00"
686,NULL,101,2,1,3,"2017-06-23","Aniversário infantil","04:00:00","Tornou-se cliente",30,25,"400.00","280.00",90,55,"120.00"
687,NULL,512,5,NULL,NULL,"2017-06-24","Formatura","04:00:00","Desistência",35,20,NULL,NULL,124,55,NULL
